,🦾 Recruiting Funnel Pipeline Calculator by New Hire Start Date   🎯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helper
,"Recruitment Operations Tools by AI-Native Recruiter, Diane Wilkinson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inputs,,,,,,,➡️,,Candidate Interview Stage Conversion Rates (CVR),,,,,,,,#of Candidates Needed in,,,,,,,➡️,,,,,Outputs,,,,,,
,,,,,,,,,,,,,,,,,,Each Stage For,,,,4,Hires,,,,,,,,,,,,,
Start Here 👉,Enter Requisition Start Date,,,,,12/15/25,,App --> Interview%,,,,,,,,10%,,533,,,,,,Application Review Stage,,,,,,#Active Interview Weeks,,,,15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter New Hire Start Date,,,,,5/12/26,,RI --> HMI %,,,,,,,,50%,,53,,,,,Recruiter Interview (RI),,,,,,,Time-to-Fill in Weeks (TTF),,,,19,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter # of Weeks Sourcing Before Interviews,,,,,1,,,HMI --> Final%,,,,,,,75%,,27,,,,Hiring Manager Interview (HMI),,,,,,,,Hire-By Date,,,,4/21/26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter # of Weeks from Offer-to-Acceptance,,,,,1,,,,Final --> Offer%,,,,,,25%,,20,,,Final Interview Stage,,,,,,,,,Offer Start Week,,,,1/19/26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter # of Weeks from Acceptance-to-Start,,,,,3,,,,,Offer Acceptance Rate,,,,,85%,,5,,Offer Stage,,,,,,,,,,Hire Accepts Start Week,,,,2/16/26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter Start Dates & Admin Time Periods Here ☝️,,,,,,,,,,Enter # of Hires to Forecast,,,,,4,,4,New Hires,,,,,,,,,,,#App-to-1 Hire Ratio,,,,133,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Enter / Adjust Here ☝️,,,,,,,,,,,,,,,,Gain Insight Here ☝️,,,,
,Conversion Rates (CVR) = % of candidates moving to the next stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And Here 👇,,
,Weekly Time-To-Fill Planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan Here 👉,"Time-to-Fill (Wks)
Week #","Rec Open Date 
Week Start Dates",,,# Applications Needed Per Week = ,,36,Recruiter Screens Needed Per Week =,,,,4,#Hiring Manager Interviews Needed Per Week =,,,,,,2,#Final Interviews Needed Per Week =,,,,,,1,#Offers Needed Per Week =,,,,0.4,#Hires Needed Per Week =,,0.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-- Sum Totals
[Error Check Against Funnel]",
,19,,15-Dec,,,533,,,,53,,,,,,27,,,,,,,20,,,,,,5,,,,4,,[Error Check Against Funnel],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,8-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,15-Dec,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,22-Dec,,,36,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,29-Dec,,,36,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,
,4,,5-Jan,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,,,,,,,,
,5,,12-Jan,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,,,,,,,,
,6,,19-Jan,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,1,,,,,,,
,7,,26-Jan,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,,,,,,,,
,8,,2-Feb,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,,,,,,,,
,9,,9-Feb,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,1,,,,,,,
,10,,16-Feb,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,,,,,1,,,
,11,,23-Feb,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,,,,,,,,
,12,,2-Mar,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,1,,,,,,,
,13,,9-Mar,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,,,,,1,,,
,14,,16-Mar,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,,,,,,,,
,15,,23-Mar,,,36,,,,4,,,,,,2,,,,,,,1,,,,,,1,,,,,,,
,16,,30-Mar,,,,,,,4,,,,,,2,,,,,,,1,,,,,,,,,,1,,,
,17,,6-Apr,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,
,18,,13-Apr,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
,19,,20-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
