Metric ID,Group,Metrics Category,Metric,Definition / Description,Formula,Numerator,Denominator,Application v2,Application,Analysis,Analysis Subtype,A[i]gent,Commentary / Interpretation,Data Source - Object,Data Source - Field,Data Store - Object,Data Store - Field,Time Rule,Transformation/ Import Logic,Tags,Notes
17.05,Recruiting & Staffing,Outcome & Impact,Offer Fit Index,Relative measure of employees' perceptions of offer fit with the organization.,Survey,Survey,Survey,Measure alignment between the organization’s value proposition and employee preferences to optimize offer design.,"Degree of alignment between the organization’s value proposition and the values, or preferences, of employees. In aggregate, the Offer Fit Index describes the level of offer fit across a number of specific job factors. The index is also diagnostic—it can be disaggregated to identify those elements of a firm’s employment value proposition that are more or less aligned with the preferences of employees.",Employee Satisfaction,Employee Satisfaction,Listening A[i]gent,"Organizations typically measure offer fit using survey results. Each survey will likely have a different set of questions or methodologies for measuring offer fit. A high level of offer fit equates to a high degree of alignment between the organization’s value proposition (in terms of compensation and benefits, work–life balance, work environment, etc.) and the specific preferences of employees. This level of offer fit impacts employees’ commitment to the firm, engagement on the job, and likelihood of staying with or leaving the firm",ATS — Candidate Pipeline,Offer fit item(s) , candidate_feedback , offer_fit_score ,Event Date Within Period," Normalize Likert scale to 0–100 |  Composite index 	 Include only accepted offers unless otherwise defined ","CNVR, recruiting, pipeline, hiring, Survey, Recruitment Process, EVP Alignment ", Diagnostic of employment value proposition alignment.
15.10,Recruiting & Staffing,Sentiment & Experience,New Hire Satisfaction with Recruiting,An indication of how satisfied recent hires were with the recruiting process.,Survey,Survey,Survey,Recruiting process effectiveness for employer brand and candidate experience.,Staffing Effectiveness Measure,Recruitment Process,Candidate Experience,Listening A[i]gent,New Hire Satisfaction with recruiting represents a survey index or set of questions for recent hires to determine their satisfaction with the recruitment process.,ATS — Candidate Pipeline,Recruiting satisfaction item(s) , candidate_feedback , recruiting_satisfaction_score ,Event Date Within Period," Normalize Likert scale to 0–100 | Composite index 	 Minimum response threshold ","CNVR, recruiting, pipeline, hiring, Survey, Recruitment Process, CSAT ", Measures experience of hired employees with recruiting process.
15.11,Recruiting & Staffing,Sentiment & Experience,New Hire Performance Satisfaction,How well recent hires are performing within their positions.,Survey,Survey,Survey,Evaluate hiring effectiveness through manager-rated performance of recent hires.,Staffing Effectiveness Measure,Recruitment Process,Quality of Hire,Listening A[i]gent,New Hire Performance Satisfaction represents a survey index or set of questions posed to the managers of recent hires to determine the performance levels of those recent hires.,ATS — Candidate Pipeline,Manager-rated new hire performance item(s) , new_hire_feedback , new_hire_performance_score ,Event Date Within Period," Normalize manager rating scale to 0–100 |  Composite index 	 Minimum response threshold ","CNVR, recruiting, pipeline, hiring, Survey, Quality of Hire, Perf. Eval ", Used to validate recruitment effectiveness.
15.20,Recruiting & Staffing,Operational Performance,Applicant Interview Rate (%Apps-to-Interview),Percentage of applicants that are interviewed during a period (any interview).,%app_to_interview_rate = count(applicants_interviewed) / count(applicants) * 100,Distinct applicants who have ≥ 1 interview (any interview type) completed.,Distinct applicants (applications submitted).,Balance between interviewing enough candidates to sample the qualified pool and avoiding excessive interview load.,"Balance between interviewing ""enough"" candidates to provide a sufficient sampling of the qualified candidate pool and straining the recruiting process by interviewing an excessive number of candidates.",,,,A result of 20% means that 20% of all applicants are interviewed.,ATS — Candidate Pipeline,,,,Event Date Within Period,"“Any interview” = first occurrence of an interview event after application (phone screen, recruiter screen, HM screen, panel, etc.). | Count distinct applicants, not number of interviews. | Decide whether the interview event is based on scheduled (recommended) vs completed (stricter). | Exclude duplicates/merged profiles; one applicant counts once.","CNVR, Capacity",Equivalent to App→Interview pass-through.
15.19,Recruiting & Staffing,Operational Performance,Pass-through Ratio: Applicants --> Hire | Applicant Ratio,Average number of applicants for each internal and external hire.,app_to_hire_ratio = count(applications) / count(offers_accepted),#Applicants ,#Offers.Accepted,#Applicants needed per hire & required screening resources,Applicant screening resources required from a job applicant pool.,Recruiting Funnel Metrics,,Screening A[i]gent | Pipeline Health A[i]gent | ,One in a series that provides an indication of the proportion of candidates admitted through various gates in the recruiting process.,ATS — Candidate Pipeline,,,app_to_hire_ratio,Event Date Within Period,Denominator = candidates entering stage in cohort week. Numerator = those who later reach Hire. Exclude duplicates/merged profiles.,"CNVR, recruiting, pipeline, hiring",
15.05,Recruiting & Staffing,Operational Performance,Referral Conversion Rate,Referrals hired as a percentage of total referrals. | Hires from referrals divided by referrals submitted.,(External Hires.Referrals / Referrals) * 100 | count( referral_hires ) / count( referrals ),Hires from referrals,Referrals submitted,,Success of the Referral Program.,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring","Add stepwise conversion: Referral→App, App→Screen, etc."
15.09,Recruiting & Staffing,Operational Performance,Offer Acceptance Rate%,Percentage of offers that were accepted.,(Offers.Accepted / Offers.Extended) * 100 | count( offers.accepted ) / count( offers.sent ),Accepted offers,Sent offers,,staffing effectiveness,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring",Track reasons (expired/declined/withdrawn) as sub-dimensions.
15.13,Recruiting & Staffing,Operational Performance,Interviews to Hire Ratio (#Applicants) | Interviewee Ratio,Average number of applicants interviewed for each internal and external hire. |Average number of interviews conducted for hired candidates.,Applicants.Interviewed / Offers.Accepted | count( interviews_for_hires ) / count( hires ),Applicants.Interviewed | Interviews for hired candidates,Offers.Accepted | Hires,,one in a series that provides an indication of the proportion of candidates admitted through various gates in the recruiting process.,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring",Break out by team/level; watch for panel duplication.
15.14,Recruiting & Staffing,Operational Performance,Interview-to-Offer Rate % | Interviewee Offer Rate,Offers extended as a percentage of distinct applicants interviewed during the period. | Share of interviewed applicants who received an offer.,(Offers.Extended / Applicants/Interviewed) * 100 | count( offers.sent ) / count( applicants_interviewed ),Offers sent,Applicants interviewed,,one in a series that provides an indication of the proportion of candidates admitted through various gates in the recruiting process.,,,,"For example, a result of 10% means that 10% of interviewed applicants received job offers.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring",Equivalent to Interview→Offer conversion.
15.15,Recruiting & Staffing,Operational Performance,"Time-to-Start, Average (days)",Average number of days elapsed between requisition date and start date for internal and external hires. | Average calendar days from offer acceptance to candidate start date.,Total days to Start / Hires | avg( start_dt - offer_accepted_dt ),Sum of days from acceptance to start,Hires,,Staffing Timeliness,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring",Track separately for relocations if needed.
